Deal ID,Company Name,Deal Date,Deal Type,Deal Type 2,Deal Size,Post Valuation,Deal Synopsis,Deal Status,Financing Status,Business Status,Investors,Primary Industry Code,Verticals,Description,HQ Location,Company Website,PitchBook Link
89911-63T,Sona Nanotech (CNQ: SONA),17-Jul-2017,Accelerator/Incubator,,,,"The company joined Emergence Incubator on July 7, 2017, and received an undisclosed amount in funding.",Completed,Accelerator/Incubator Backed,Generating Revenue,Emergence Incubator,Medical Supplies,"Life Sciences, Oncology",Sona Nanotech Inc is engaged in researching and developing gold nanorod products. It makes products for diagnostic test and medical treatment applications. The company's product includes Gemini and Omni.,"Halifax, Canada",www.sonanano.com,View company online
96367-42T,Unyte Health,16-Jul-2017,Product Crowdfunding,,0.16,,"The company raised $204,408 of product crowdfunding via kickstarter on July 16, 2017.",Completed,Corporation,Generating Revenue,,Other Healthcare,"Digital Health, LOHAS & Wellness, TMT, Virtual Reality","Developer of a biofeedback device designed to help people navigate the natural health world. The company's biofeedback device matches biofeedback technology with immersive digital and virtual reality experiences, making meditation easy to learn, engaging and effective, enabling people to realize the proven health benefits it provides and calm themselves through an unique combination of biofeedback, meditation, gaming and virtual reality.","Toronto, Canada",www.unyte.com,View company online
96367-24T,Unyte Health,15-Jul-2017,Product Crowdfunding,,0.18,,"The company raised $234,543 of product crowdfunding via Indiegogo on July 15, 2017.",Completed,Corporation,Generating Revenue,,Other Healthcare,"Digital Health, LOHAS & Wellness, TMT, Virtual Reality","Developer of a biofeedback device designed to help people navigate the natural health world. The company's biofeedback device matches biofeedback technology with immersive digital and virtual reality experiences, making meditation easy to learn, engaging and effective, enabling people to realize the proven health benefits it provides and calm themselves through an unique combination of biofeedback, meditation, gaming and virtual reality.","Toronto, Canada",www.unyte.com,View company online
90310-60T,Venus Concept Canada,13-Jul-2017,Later Stage VC,,38.50,,"The company raised $38.5 million of venture funding in a deal led by EW Healthcare Partners in June, 2017. HealthQuest Capital, Aperture Venture Partners and Madryn Asset Management also participated in the round. The financing will help support the growth of its business model, the ongoing expansion and maturation of its 27 direct global offices and the continued development of products to serve the aesthetic marketplace.",Completed,Venture Capital-Backed,Generating Revenue,"Aperture Venture Partners(Anthony Natale), EW Healthcare Partners(Scott Barry), HealthQuest Capital(Garheng Kong), Madryn Asset Management",Other Devices and Supplies,,"Developer of non-surgical aesthetic equipment designed for non-invasive cosmetic procedures. The company's non-surgical aesthetic equipment offers technology for body contouring, skin tightening, cellulite and scar reduction, skin resurfacing, skin rejuvenation, acne reduction, hair removal and more, enabling aesthetic practitioners to enhance their clinics' offerings with safe, painless and profitable treatment services.","Toronto, Canada",www.venusconcept.com,View company online
90502-66T,Chronometriq,11-Jul-2017,Early Stage VC,Series A,3.50,,"The company raised $3.5 million of Series A venture funding led by Bridgescale Partners on July 11, 2017. Other undisclosed investors also participated in this round. The company will use this funding to expand its products and reach throughout the Canadian and US health clinic markets.",Completed,Venture Capital-Backed,Generating Revenue,Bridgescale(Robert Chaplinsky),Business/Productivity Software,"HealthTech, SaaS, TMT","Developer of a Saas based online healthcare appointment booking platform designed to improve the quality of the experience of care for patients. The company's platform offers online appointment booking services, automated reminders and medical self-service terminal services, enabling healthcare professionals to reduce absenteeism, decrease their operating costs and find new patients.","Montreal, Canada",www.chronometriq.com,View company online
93451-24T,MIMOSA Diagnostics,10-Jul-2017,Early Stage VC,,,,"The company raised an undisclosed amount of venture funding from FundersClub, Pool Global Partners and XDL Capital Group on July 10, 2017.",Completed,Venture Capital-Backed,Startup,"FundersClub, Pool Global Partners, XDL Capital Group",Monitoring Equipment,"HealthTech, Mobile, TMT","Developer of a mobile health device, which uses multi-spectral mobile tissue analysis to go beyond anatomy and assess the physiology of tissue health. Through real-time insights into tissue conditions and viability, MIMOSA improves remote monitoring and assessment, enabling better treatment decisions and outcomes for each patient. The device has application for diabetic foot ulcers and burns, among others.","Toronto, Canada",www.mimosadiagnostics.com,View company online
88703-38T,Jamieson (TSE: JWEL),07-Jul-2017,IPO,Debt Repayment,227.47,450.04,"The company raised CAD 300 million in its initial public offering on the Toronto stock exchange under the ticker symbol of JWEL on July 7, 2017. A total of 19,050,000 shares were sold at at a price of CAD 15.7 per share. After the offering, there was a total of 37,685,116 outstanding shares (excluding the over-allotment option) priced at CAD 15.7 per share, valuing the company at CAD 593.54 million. The total proceeds, before expenses, to the company was CAD 244.98 million and to the selling shareholders was CAD 55.05 million. In the offering, the company sold 15,554,755 shares and the selling shareholders sold 3,495,245 shares. The underwriters were granted an option to purchase up to an additional 2,857,500 shares from the company and selling shareholders to cover over-allotments, if any. The management holds roughly 8% in the company.",Completed,Formerly PE-Backed,Generating Revenue,,Pharmaceuticals,"LOHAS & Wellness, Manufacturing","Jamieson Wellness Inc is engaged in the business of manufacturing, distributing, and marketing branded natural health products including vitamins, minerals, and supplements. The company is organized into two segments - The Jamieson brands and The Strategic Partners. Maximum revenue for the company is generated by the Jamieson brand segment. The company's brands include - Jamieson, LVHS, Progressive, Precision, and Iron Vegan.","Windsor, Canada",www.jamiesonvitamins.com,View company online
101151-10T,Avro Life Science,05-Jul-2017,Accelerator/Incubator,,0.01,,"The company joined Bayer Canada (Accelerator) as a part of its Grants4Apps Toronto 2017 Program and received $10,000 in funding on July 5, 2017. The funding was received in the form of grant.",Completed,Venture Capital-Backed,Generating Revenue,Bayer Canada (Accelerator),Drug Delivery,TMT,"Developer of a trans-dermal therapeutics delivery system designed to provide slow-release medication. The company's therapeutics include a polymer matrix skin patch that permits medicines to be absorbed directly into the bloodstream, enabling patients to access medication with lower impact on the liver and without having to take an oral pill.","Kitchener, Canada",www.avrolifesci.com,View company online
94529-98T,Mariner Endosurgery,05-Jul-2017,Accelerator/Incubator,,,,"The company joined Hamilton Health Sciences and IBM Canada launched accelerator and received an undisclosed amount of funding on July 5, 2017.",Completed,Venture Capital-Backed,Startup,"Hamilton Health Sciences, IBM Canada",Surgical Devices,"HealthTech, TMT","Developer of computer-assisted medical devices designed to accelerate laparoscopic surgeries. The company's medical devices platform LaparoGuard, is a novel soft-tissue surgical navigation platform that augments visualization during laparoscopic surgeries, enabling surgeons to deliver high quality of care to their patients and improve patient outcomes.","Hamilton, Canada",www.marinerendosurgery.com,View company online
90054-10T,Mirexus Biotechnologies,29-Jun-2017,Later Stage VC,,12.00,,"The company raised $12 million of venture funding in a deal led by Goddard Enterprises on June 29, 2017. GreenSky Capital also participated in the round. The company will use the funds to to finance a factory to produce PhytoSpherix, to boost business development, particularly in the Personal Care market, and increase R&D to develop new personal care, nutraceutical and biomedical applications. The funding was raised in the form of convertible debt.",Completed,Venture Capital-Backed,Generating Revenue,"Goddard Enterprises(Anthony Ali), GreenSky Capital(Greg Stewart)",Biotechnology,"Life Sciences, Nanotechnology, TMT",Operator of a natural biomaterials company designed to commercialize nanotechnology based on polysaccharide nanoparticles. The company's natural biomaterials can be used in a wide variety of markets ranging from cosmetics to nutraceuticals to biomedical applications in animal and human health.,"Guelph, Canada",www.mirexusbiotech.com,View company online
67070-35T,Synaptive,28-Jun-2017,Early Stage VC,Series A1,45.00,314.00,"The company raised $45 million of Series A1 venture funding from General Atlantic, Quadrille Capital and other undisclosed investors on June 28, 2017, putting the company's pre-money valuation at $269 million.",Completed,Venture Capital-Backed,Generating Revenue,"General Atlantic(David Caluori), Quadrille Capital",Monitoring Equipment,"Life Sciences, TMT","Developer of neurosurgical technological products designed to offer improvement in treatment of nerve disorders. The company's products include advanced tools and information for neurosurgeons, radiologists, surgeons and hospitals to focus on patient outcomes, as well as help in surgical planning, navigation and visualization, enabling healthcare professionals to improve patient outcomes and ensure fast recovery of the patients.","Toronto, Canada",www.synaptivemedical.com,View company online
95476-33T,Storydoc.ai,28-Jun-2017,Accelerator/Incubator,,0.09,,"The company joined IBM SmartCamp as part of the Global Entrepreneur Program and received CAD 120,000 in funding on June 28, 2017.",Completed,Accelerator/Incubator Backed,Startup,IBM SmartCamp,Other Healthcare Technology Systems,"Mobile, SaaS, TMT","Provider of SaaS based healthcare workflow tools intended to revolutionize the way patients share with their caregivers. The company's healthcare workflow tools enhances pre-sorting and pre -diagnostic improves communication between patients and health professionals, enabling patients tell their life stories to caregivers.","Montreal, Canada",growingwith.storydoc.ai,View company online
89859-43T,GenomeDx,27-Jun-2017,Later Stage VC,,6.25,,"The company raised $6.25 million of venture funding from undisclosed investors on June 27, 2017.",Completed,Venture Capital-Backed,Generating Revenue,,Biotechnology,"Life Sciences, Oncology, TMT","Provider of a genomic information database designed to improve treatment and outcomes of people with cancer. The company's genomic information database develops and commercializes clinical tests that are intended to provide accurate and useful diagnostic information, enabling cancer patients to access an assessment of tumor aggressiveness based on their unique genomic profile.","Vancouver, Canada",www.genomedx.com,View company online
89661-70T,Titan Medical (TSE: TMD),27-Jun-2017,Public Investment 2nd Offering,,5.43,146.40,"The company raised CAD 7.25 million in its second public offering on the Toronto stock exchange under the ticker symbol of TMD on June 27, 2017. A total of 48,388,637 shares were sold at CAD 0.15 per share. After the offering, there was a total of 236,734,818 outstanding shares (excluding the over-allotment option) priced at CAD 0.15 per share, valuing the company at CAD 195.6 million. The total proceeds, before expenses, to the company was CAD 7.25 million.",Completed,Corporate Backed or Acquired,Profitable,,Surgical Devices,"Robotics and Drones, TMT","Titan Medical Inc is a development stage company focused on computer-assisted robotic surgical technologies for application in minimally invasive surgery (MIS). The Company is developing a single-port robotic surgical system comprised of a surgeon-controlled patient cart that includes a 3D high-definition vision system and multi-articulating instruments for performing MIS procedures, and a surgeon workstation that provides an advanced ergonomic interface to the patient cart and a 3D endoscopic view inside the patient's body. Titan intends to initially pursue gynecologic surgical indications for use of its single-port robotic surgical system.","Toronto, Canada",www.titanmedicalinc.com,View company online
101676-07T,Integrated Circuit Scanning Probe Instrument,27-Jun-2017,Accelerator/Incubator,,,,"The company joined Creative Destruction Lab on June 27, 2017.",Completed,Accelerator/Incubator Backed,Generating Revenue,Creative Destruction Lab,Other Commercial Products,"Nanotechnology, TMT","Developer of microscopes designed to provide next generation of nanoscale metrology tools. The company's products include nGauge AFM that uses CMOS MEMS technology and integrate all of the essential components of an AFM - the fine XYZ movement, and the nanoscale sensing - onto a single 1 mm x 1 mm chip, enabling clients to experience advanced probe microscopes.","Waterloo, Canada",www.icspicorp.com,View company online
97321-15T,Notogen,27-Jun-2017,Accelerator/Incubator,,,,"The company joined JLABS on an June 27, 2017.",Completed,Accelerator/Incubator Backed,Startup,JLABS,Therapeutic Devices,"Life Sciences, TMT","Provider of novel therapeutic products intended to offer body arrest degeneration and repair spinal disc tissues, while reducing pain and inflammation. The company's product is an injectable solution that is fast to administer, cost-effective and is minimally invasive, enabling patients to get cured from back and neck pain.","Toronto, Canada",www.notogen.com,View company online
126380-62T,Add Text,26-Jun-2017,Accelerator/Incubator,,,,"The company graduated from Spring 2017 Launch Program of PropelICT on June 26, 2017.",Completed,Accelerator/Incubator Backed,Startup,PropelICT,Other Healthcare Services,Digital Health,"Developer of a platform intended for facilitating communication with people with ADD, learning disabilities and ADHD. The company offers a platform to communicate with students all over the world using video-conferencing, teleconferencing, SMS/MMS, file sharing and calendar integration along with one-on-one sessions and group training workshops, providing affected people with e-learning opportunities, a blog/vlog filled with strADDegies, live video, and a free monthly online support group.","Dartmouth, Canada",,View company online
126930-88T,Conceptualiz,26-Jun-2017,Accelerator/Incubator,,,,"The company graduated from PropelICT as part of Spring 2017 Build Cohort 5 on June 26, 2017.",Completed,Accelerator/Incubator Backed,Generating Revenue,PropelICT,Other Healthcare Technology Systems,"3D Printing, HealthTech","Developer of a 3D printing software intended to ease the adoption of 3D printed medical models produced in-house or in-hospital at the point-of-care. The company's software allows healthcare providers with no prior experience in 3D printing to easily create accurate 3D digital models automatically from medical imaging data with the touch of a finger, enabling healthcare providers to use these digital models to 3D plan surgeries and 3D print their surgical plan using low-cost desktop printers at the point of care.","Halifax, Canada",www.conceptualiz.com,View company online
89551-36T,Repare Therapeutics,22-Jun-2017,Early Stage VC,Series A,68.00,,"The company raised $68 million of Series A venture funding in a deal led by Versant Ventures and MPM Capital on June 22, 2017. Fonds de solidarité FTQ, Celgene and BDC Capital also participated in this round. The company will use the funding to advance its platform and pipeline of novel medicines that target genetically defined weaknesses of cancers.",Completed,Venture Capital-Backed,Startup,"BDC Capital, Celgene, Fonds de solidarité FTQ, MPM Capital(Todd Foley), Versant Venture Management(Jerel Davis)",Drug Discovery,"Life Sciences, Oncology","Developer of oncology drugs designed to target specific vulnerabilities of tumor cells. The company's drugs combine a proprietary high throughput gene-editing and target discovery method with high-resolution protein crystallography, computational biology and clinical informatics, enabling patients to improve cancer treatment both with single therapy and in combination with existing drugs and treatments.","Montreal, Canada",www.reparerx.com,View company online
95824-36T,TellSpec,22-Jun-2017,Accelerator/Incubator,,0.11,,"The company joined Impact Accelerator and received EUR 100,000 of grant funding on June 22, 2017.",Completed,Venture Capital-Backed,Generating Revenue,IMPACT Accelerator,Application Software,"Artificial Intelligence & Machine Learning, Big Data, Digital Health, Mobile, TMT","Developer of real-time nondestructive food analysis technology designed to help create a clean food revolution and build trust in food. The company's food analysis technology uses a proprietary AI-based food analysis engine and an extensive food database of reference spectral scans to support vast data gathering on the quality and authenticity of the food scanned from all points in the food supply chain, from farm to fork and to monitor events of food fraud as well as of food contamination locally and in specific regions, enabling consumers and authorities to make choices to prevent the onset of health issues related to food.","Toronto, Canada",www.tellspec.com,View company online
118313-20T,Epineuron,21-Jun-2017,Accelerator/Incubator,,0.05,,"The company joined The Ontario Brain Institute's ONtrepreneurs program on June 21, 2017 and received $50,000 in funding",Completed,Accelerator/Incubator Backed,Startup,The Ontario Brain Institute,Therapeutic Devices,HealthTech,"Developer of an electroceutical device engineered to supercharge and accelerate the regeneration of injured peripheral nerves. The company's device delivers electrical stimulation that boosts the nerve's natural biochemical process to heal and repair itself after injury, enabling people to get access to innovative and redefined nerve injury care.","Hamilton, Canada",www.epineurontech.com,View company online
92695-51T,Trexo Robotics,21-Jun-2017,Accelerator/Incubator,,0.04,,"The company joined Ontario Brain Institute as part of its ONtrepreneurs program and received CAD 50,000 in funding on June 21, 2017.",Completed,Accelerator/Incubator Backed,Generating Revenue,Ontario Brain Institute,Therapeutic Devices,"Robotics and Drones, TMT","Developer of robotic mobility solutions designed to help children with physical impairments. The company's robotic device provides repetitive motion therapy through the robotic gait, enabling physiotherapists to provide better care and improve patients walking mobility.","Mississauga, Canada",www.trexorobotics.com,View company online
89663-77T,Resverlogix (TSE: RVX),20-Jun-2017,Public Investment 2nd Offering,,7.46,149.28,"The company raised CAD 10 million in its second public offering on the Toronto stock exchange under the ticker symbol of RVX on June 20, 2017. A total of 5,555,556 shares were sold at CAD 1.8 per share. After the offering, there was a total of 111,205,345 outstanding shares (excluding the over-allotment option) priced at CAD 1.8 per share, valuing the company at CAD 200 million. The total proceeds, before expenses, to the company was CAD 10 million.",Completed,Corporation,Profitable,"Eastern Capital (Pakistan), Shenzhen Hepalink Pharmaceutical Group (SHE: 002399)",Biotechnology,Life Sciences,"Resverlogix Corp clinical-stage biotechnology company. The company is developing an advanced epigenetic drug called apabetalone for the treatment of patients with cardiovascular disease, diabetes mellitus, chronic kidney disease, peripheral artery disease, orphan diseases, and neurodegenerative diseases.","Calgary, Canada",www.resverlogix.com,View company online
98102-26T,Oxilight,19-Jun-2017,Accelerator/Incubator,,0.01,,"The company joined Startupbootcamp as a part of its Digital Health Chengdu program and received RMB 100,000 in funding on June 19, 2017.",Completed,Accelerator/Incubator Backed,Startup,Startupbootcamp,Diagnostic Equipment,Life Sciences,"Developer of a biomedical device designed to bring wound imaging technologies to every front line healthcare professional. The company's device provides physiologically relevant information in seconds, can be used by any front-line health practitioner and does not require specialised vascular labs, enabling health care professionals with capability to facilitate earlier diagnostics and triaging of patients with problematic wounds, thus saving limbs and reducing patients' morbidity and mortality.","Toronto, Canada",www.oxilight.ca,View company online
109717-48T,Serenity Bioworks,17-Jun-2017,Accelerator/Incubator,,0.03,,"The company joined The Accelerator Centre as part of the Cohort 6 of the AC JumpStart program on June 17, 2017 and received $30,000 in funding.",Completed,Accelerator/Incubator Backed,Startup,The Accelerator Centre,Biotechnology,"HealthTech, TMT","Developer of gene therapies designed to analyze genes. The company's gene therapies are the parameters to treat hemophilia, inherited retinal diseases and neurodegenerative diseases, enabling doctors to enhance the long-term efficacy and safety profiles for gene therapy which resulting in safe and longer-lasting treatments for hemophilia A.","Kitchener, Canada",www.serenitybioworks.com,View company online
89555-05T,IMV (Biotechnology) (TSE: IMV),15-Jun-2017,Public Investment 2nd Offering,,10.00,164.63,"The company raised CAD 10 million in its second public offering on the Toronto stock exchange under the ticker symbol of IMV on June 15, 2017. A total of 7,692,308 shares were sold at CAD 1.3 per share. After the offering, there was a total of 126,639,279 outstanding shares (excluding the over-allotment option) priced at CAD 1.3 per share, valuing the company at CAD 164.6 million. The total proceeds, before expenses, to the company was CAD 10 million. The underwriters were granted an option to purchase up to an additional 1,153,846 shares from the company to cover over-allotments, if any.",Completed,Formerly VC-backed,Generating Revenue/Not Profitable,,Biotechnology,"Life Sciences, Oncology","IMV Inc is a clinical-stage biopharmaceutical company. The company is engaged in making immunotherapies more effective, more broadly applicable, and more widely available to people facing cancer and other serious diseases. Its proprietary drug development platform provides a patented delivery formulation that enables controlled and prolonged exposure of antigens to the immune system.","Dartmouth, Canada",www.imv-inc.com,View company online
92548-54T,Vena Medical,15-Jun-2017,Accelerator/Incubator,,0.02,,"The company joined The Accelerator Centre as a part of its Cohort 6 of AC JumpStart program on June 15, 2017 and received $30,000 in funding.",Completed,Accelerator/Incubator Backed,Startup,The Accelerator Centre,Diagnostic Equipment,,"Developer of a vascular endoscope designed to view inside blood vessels and improve vascular navigation during minimally invasive procedures. The company's Vena Microcatheter uses bleeding edge fiber-optics and a saline flush in order to give physicians a point of view of their tools, making procedures faster by eliminating the iterative nature of navigation and safer by reducing guidewire induced punctures of arteries and veins, enabling patients, physicians and nurses to all be subjected to less radiation while simultaneously increasing the size of the candidate pool for these interventional procedures. The company's developing a second generation designed to provide a first-person navigational perspective for physicians by using infrared light to eliminate the saline flush and reduce the quantity of fluoroscopy and iodine required for these procedures.","Waterloo, Canada",www.venamed.ca,View company online
89207-83T,Evasc Neurovascular Enterprises,14-Jun-2017,Later Stage VC,Series A,7.42,,"The company raised CAD 10 million of Series A funding from lead investor Yonghua Capital on June 14, 2017. Other undisclosed investors also participated in the round. The funds will be used towards achieving strategic milestones related to the eCLIPs Aneurysm Treatment System.",Completed,Venture Capital-Backed,Generating Revenue,Yonghua Capital,Surgical Devices,Life Sciences,Developer of novel endovascular medical devices created to treat cerebral aneurysms. The company's endovascular medical devices focuses on the development of medical device technologies for the treatment of vascular diseases and development of endovascular treatments for cerebral aneurysms.,"Vancouver, Canada",www.evasc.com,View company online
126171-46T,Perfit,13-Jun-2017,Early Stage VC,,0.15,,,Completed,Venture Capital-Backed,Generating Revenue,Atrium Ventures,Medical Supplies,,"Developer of dental technology intended to deliver high quality, immediate gratification products that benefit both patients and practitioners. The company's dental implants are comfortable, lighter, have better fitting and requires less chair time and are offered with a 10-year warranty, providing patients with an alternative to painful and time-consuming operations.","Kelowna, Canada",www.perfitdental.com,View company online
94581-37T,Comfable,11-Jun-2017,Accelerator/Incubator,,,,"The company joined The Next Canada on June 11, 2017.",Completed,Accelerator/Incubator Backed,Generating Revenue,The Next Canada,Electronics (B2C),"TMT, Wearables & Quantified Self",Provider of technology services intended to address public health concerns integrating various hardware and software. The company's technology services offers wearable products for protection from sun rays and a simulation software for analyzing urban climate.,"Toronto, Canada",www.comfable.com,View company online
67257-01T,Lungpacer Medical,08-Jun-2017,Early Stage VC,,19.62,,"The company raised $19.62 million of series A venture funding in deal led by Keiretsu Forum on June 8, 2017. KCK Group, Keiretsu Capital and other undisclosed investors also participated in the round.",Completed,Angel-Backed,Startup,"KCK Group(Michael Favet), Keiretsu Capital(Nathan McDonald), Keiretsu Forum",Therapeutic Devices,HealthTech,"Developer of a therapeutic technology designed to restore the integrity and strength of the diaphragm muscle in critically ill patients who require mechanical ventilation. The company's therapeutic services are expected to prevent or reverse diaphragm muscle-disuse atrophy and maintain diaphragmatic endurance, thus facilitating weaning of patients providing a more physiological respiratory pattern and reducing the levels of positive pressure ventilation and its harmful effects on the lungs.","Vancouver, Canada",www.lungpacer.com,View company online
88670-35T,MedChart,05-Jun-2017,Seed Round,Seed Round,,,"The company raised an undisclosed amount of seed funding from iGan Partners and MaRS Investment Accelerator Fund on June 5, 2017.",Completed,Venture Capital-Backed,Generating Revenue,"iGan Partners, MaRS Investment Accelerator Fund",Medical Records Systems,"Artificial Intelligence & Machine Learning, SaaS, TMT","Developer of a health records management platform designed to transfer medical records and diagnostic imaging. The company's platform makes requesting and releasing health information easy by letting its users store, pass and access multiple health records and data across several interfaces, fast and secure, enabling patients to request and access their medical records from any hospital, clinic or pharmacy in Canada.","Toronto, Canada",www.medchart.com,View company online
89621-65T,Dalriada Therapeutics,02-Jun-2017,Angel (individual),Series A,1.29,,The company raised CAD 1.75 million of angel funding from undisclosed investors on an undisclosed date.,Completed,Angel-Backed,Startup,,Drug Discovery,"HealthTech, Life Sciences, Oncology, TMT","Developer of novel therapeutics designed for the treatment of proliferative diseases with a focus on cancer and psoriasis. The company's therapeutics offers a full suite of drug discovery services including medicinal chemistry, custom synthesis and assay development that produces a higher resolution of the breast while reducing radiotracer dose compared to competitive positron emission mammography system, enabling physicians to detect pre-invasive breast cancers.","Mississauga, Canada",www.dalriadatx.com,View company online
89622-10T,Dalriada Therapeutics,02-Jun-2017,Accelerator/Incubator,,,,"The company graduated from ICUBE UTM on June 2, 2017.",Completed,Accelerator/Incubator Backed,Startup,ICUBE UTM,Drug Discovery,"HealthTech, Life Sciences, Oncology, TMT","Developer of novel therapeutics designed for the treatment of proliferative diseases with a focus on cancer and psoriasis. The company's therapeutics offers a full suite of drug discovery services including medicinal chemistry, custom synthesis and assay development that produces a higher resolution of the breast while reducing radiotracer dose compared to competitive positron emission mammography system, enabling physicians to detect pre-invasive breast cancers.","Mississauga, Canada",www.dalriadatx.com,View company online
108553-60T,Athletigen,01-Jun-2017,Accelerator/Incubator,,,,The company joined C100 Association as a part of its spring 2017 cohort in June 2017.,Completed,Venture Capital-Backed,Generating Revenue,C100 Association,Biotechnology,"HealthTech, Life Sciences, LOHAS & Wellness, TMT","Provider of a sports genetics platform designed to offer insight based genetic information. The company's sports genetics platform offers DNA analysis services of all levels and delivers an intuitive and interactive online profile so that users can easily discover their bodies on a deeper, genetic level and customize training and fitness programs to improve athletic performance, enabling athletes to become better, stronger and faster by analyzing their DNA and exploring their inner athlete with a personalized approach to health and fitness.","Halifax, Canada",www.athletigen.com,View company online
106874-29T,ODS Medical,01-Jun-2017,Accelerator/Incubator,,,,"The company joined Garage+ on June 1, 2017, and received an undisclosed amount in funding.",Completed,Accelerator/Incubator Backed,Startup,Garage+,Diagnostic Equipment,"Life Sciences, Oncology","Operator of a medical device company intended to commercialize a spectroscopy system for real-time detection of tissue abnormalities. The company's tools help in offering diagnostic services through the use of intrinsic fluorescence spectroscopy and diffuse reflectance spectroscopy, enabling medical practitioners to identify tissues with diffusely infiltrative cancer.","Montreal, Canada",www.odsmed.com,View company online
78034-42T,Health Gauge,31-May-2017,Angel (individual),Angel (individual),0.40,,"The company raised $400,000 of angel funding via equity crowdfunding platform Seedups Canada on May 31, 2017.",Completed,Angel-Backed,Startup,,Monitoring Equipment,"Digital Health, LOHAS & Wellness, Mobile, TMT, Wearables & Quantified Self","Developer of a health & fitness wearable device designed to monitor vital health parameters. The company's device helps users measure blood pressure, blood oxygen and activity levels, enabling users to analyze general health and overall fitness levels.","Edmonton, Canada",www.healthgauge.ca,View company online
90740-62T,Proteorex Therapeutics,25-May-2017,Accelerator/Incubator,,0.25,,"The company joined IndieBio program on May 25, 2017 and received $250,000 in the form of convertible debt financing.",Completed,Accelerator/Incubator Backed,Startup,IndieBio,Biotechnology,"Life Sciences, Oncology","Provider of a biotechnology platform created to develop oncology drugs. The company develops oncology drugs using protein-protein interactions (PPIs) between chemical molecule peptides via its proprietary biotechnology platform, enabling physicians and researchers to rapidly and cost-effectively unlock previously undruggable targets.","Toronto, Canada",www.proteorex.com,View company online
88113-61T,MedStack,24-May-2017,Accelerator/Incubator,,0.15,,"The company joined 500 Startups on May 24, 2017 and received $150,000 in funding. As a part of the transaction the funding was raised in the form of convertible debt financing.",Completed,Venture Capital-Backed,Generating Revenue,500 Startups,Enterprise Systems (Healthcare),"Digital Health, HealthTech, SaaS, TMT","Developer of cloud-based developer tools designed to offer patient-centric healthcare services. The company's cloud-based developer tools provide healthcare workflow building blocks for patient data acquisition, storage and messaging as well as offers secure structured database for alignment with Institutions, EMRs and Payers, enabling hospitals and other healthcare enterprises to onboard more digital innovations faster, by helping application developers meet privacy, security and interoperability expectations up front, before IT diligence even starts.","Toronto, Canada",www.medstack.co,View company online
106595-47T,Clarius,19-May-2017,Angel (individual),Angel (individual),7.44,,"The company raised CAD 10.15 million of angel funding from undisclosed investors on May 19, 2017.",Completed,Angel-Backed,Generating Revenue,,Monitoring Equipment,,"Developer of a digital imaging system created to offer a handheld ultrasound scanners. The company's system offers a wireless portable ultrasound which is integrated with advanced algorithms to ensure imaging parameters are automatically adjusted, removing the need for knobs usually found on traditional ultrasound systems, enabling clinicians to use ultrasound anywhere and anytime at an affordable cost.","Burnaby, Canada",www.clarius.com,View company online
96446-71T,Enrich Bioscience,15-May-2017,Accelerator/Incubator,,,,"The company joined JLABS on May 15, 2017.",Completed,Accelerator/Incubator Backed,Product Development,JLABS,Diagnostic Equipment,"Life Sciences, Oncology, TMT","Developer of a diagnostic technology created to detect various types of cancer. The company's technology utilizes cancer differentially methylated region to detect different types cancer including lung, liver, bladder, prostate, colorectal, breast, pancreatic, thyroid, gastric cancer and leukemia from extracted DNA using a fast, simple and non-invasive diagnostic test, enabling oncologists to detect and prevent cancer at very early stage.","Etobicoke, Canada",enrichbioscience.com,View company online
85813-66T,Analytics for Life,12-May-2017,Angel (individual),Angel (individual),4.09,,"The company raised $4.09 million of angel funding from undisclosed investors on May 12, 2017.",Completed,Angel-Backed,Generating Revenue,,Diagnostic Equipment,"Artificial Intelligence & Machine Learning, Life Sciences, TMT","Developer of a cardiac monitoring device designed to identify and assess specific disease. The company's cardiac monitoring device uses advanced signal processing techniques and machine-learned algorithms to reveal previously hidden information about a patient's health status from within their physiological signals in the coronary artery, enabling medical professionals to diagnose diseases.","Kingston, Canada",www.analytics4life.com,View company online
96063-40T,VitalTracer,11-May-2017,Accelerator/Incubator,,0.01,,"The company joined Startup Garage as part of its eighth annual 2017 cohort and received CAD 7,500 in funding on May 11, 2017.",Completed,Accelerator/Incubator Backed,Startup,Startup Garage,Electronics (B2C),"Digital Health, TMT, Wearables & Quantified Self","Provider of medical smartwatch intended to measure and record all the vital signs of the patient. The company's medical smartwatch device monitors, tracks and records heart rate, blood pressure, respiratory rate, oxygen saturation, body temperature, ECG and PPG signals, enabling patients with an accurate and low-cost alternative to current lab sensors.","Ottawa, Canada",vitaltracer.ca,View company online
94716-64T,Health Sensor Solutions,11-May-2017,Accelerator/Incubator,,,,"The company joined Startup Garage as a part of its 2017 cohort on May 11, 2017.",Completed,Accelerator/Incubator Backed,Startup,Startup Garage,Other Healthcare Technology Systems,"Life Sciences, TMT","Developer of a biomedical radar sensor created to track breathing rate of patients. The company's biomedical radar sensor is a fully automated contactless system capable of monitoring people, extracting heartbeat and assess people's activities and their physiological state, enabling retirements homes and correctional facilities to perform initial diagnostics based on extracted signals of patients and generate alarms in case of emergency events.","Ottawa, Canada",www.healthsensorsolutions.com,View company online
